Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alex Abrines,SG,25,OKC,31,588,6.4,0.507,0.809,0.083,0.9,7.6,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.7,0.059,-2.3,-0.8,-3.1,-0.2
2,Quincy Acy,PF,28,PHO,10,123,3,0.379,0.833,0.556,2.7,20.4,11.5,8.3,0.4,2.7,15.2,9.3,-0.1,0,-0.1,-0.021,-5.5,-0.2,-5.6,-0.1
3,Jaylen Adams,PG,22,ATL,9,43,8,0.4,0.6,0,0,7.6,3.7,18,3.2,2,9.1,10.4,0,0,0,0.035,-4,-0.4,-4.4,0
4,Steven Adams,C,25,OKC,49,1666,20,0.611,0.002,0.398,14,16.1,15.1,7.4,2.1,1.9,11.5,16.9,4,2.7,6.7,0.193,1.4,2,3.4,2.3
5,Bam Adebayo,C,21,MIA,50,1112,17.2,0.614,0.033,0.519,9.8,22.4,16.1,13.6,1.6,3.1,17.4,15.4,2,1.8,3.8,0.163,-0.7,3.1,2.4,1.2
6,Deng Adel,SF,21,CLE,6,53,8.5,0.688,0.625,0,4.1,11,7.4,5.2,0.9,3.2,27.3,9.1,0,0,0,0.018,-2.7,-0.7,-3.4,0
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.5,0.322,0.4,0.2,5,14.9,10,36.8,4.5,0,15.5,25.1,-0.1,0,0,-0.045,-4.1,0.6,-3.5,0
8,LaMarcus Aldridge,C,33,SAS,53,1734,22.8,0.573,0.022,0.327,10.3,19.3,14.9,12.8,0.8,3.1,9.4,27.3,4.3,1.7,6,0.165,1.3,0.3,1.6,1.6
9,Rawle Alkins,SG,21,CHI,2,4,61,0.375,0.25,0,81.1,0,40.6,91.9,12.1,0,0,44,0,0,0,0.547,43.4,21.9,65.3,0.1
10,Grayson Allen,SG,23,UTA,25,267,4.3,0.456,0.625,0.288,0.4,3.7,2,8.6,0.5,0.9,11.3,21.3,-0.4,0.2,-0.2,-0.029,-4.6,-3.4,-8,-0.4
11,Jarrett Allen,C,20,BRK,51,1365,19.2,0.626,0.084,0.466,10.3,24.6,17.4,8.4,1.1,4.5,13.3,16.3,3,2,5,0.176,-0.1,3,2.8,1.7
12,Kadeem Allen,SG,26,NYK,3,71,12.8,0.56,0.176,0.471,2.8,13.9,8.1,22,0.7,0,8.9,13.4,0.2,0,0.2,0.111,-1.1,-2.2,-3.3,0
